original.file	seg.file	perimeter	surface.area	dissection	compactness
3233-2c.jpeg	3233-2c_0.jpg	21.229546679730486	10.079052205403647	0.08945368682787995	44.71587635841661
3233-2c.jpeg	3233-2c_1.jpg	24.58265706917686	16.088933482530383	0.10649509419287176	37.560415625865886
3233-2c.jpeg	3233-2c_2.jpg	23.44890506862015	15.941472073025173	0.1159693644683238	34.491867902687105
3233-2c.jpeg	3233-2c_3.jpg	22.181492049453215	13.161471346028646	0.10699978924239259	37.38325120378113
3233-2c.jpeg	3233-2c_4.jpg	26.580691835567134	16.62594959309896	0.0941269290673616	42.49580900634094
1233-4d.jpeg	1233-4d_0.jpg	21.365017706674152	8.59600556640625	0.07532691220151108	53.10187133782126
1233-4d.jpeg	1233-4d_1.jpg	20.772556881674266	8.525301928710938	0.07902961137457802	50.6139398945179
1233-4d.jpeg	1233-4d_2.jpg	21.010652638617653	10.460606800672743	0.09478460043235827	42.20094806280842
1233-4d.jpeg	1233-4d_3.jpg	65.93647776417727	64.55234914279514	0.05939098863890744	67.35028481037227
1233-4d.jpeg	1233-4d_4.jpg	18.06124184111699	6.878721595594618	0.08434755692307042	47.42283174423438
1233-4e.jpeg	1233-4e_0.jpg	34.77181180334331	8.189874069552951	0.027094589430209676	147.63095083257164
1233-4e.jpeg	1233-4e_1.jpg	26.592144817785645	11.974068256293402	0.06773216946660002	59.056132876010615
1233-4e.jpeg	1233-4e_2.jpg	27.976809027508462	11.380979332139757	0.05816252729524091	68.77280245570238
1233-4e.jpeg	1233-4e_3.jpg	24.160503967785417	10.544860167100694	0.07225848275477499	55.356822444983756
1233-4e.jpeg	1233-4e_4.jpg	31.925482678064956	14.810646308051215	0.05812447697267178	68.81782354584745
1233-4e.jpeg	1233-4e_5.jpg	89.66227249224175	25.45071494140625	0.012663113348228321	315.878085428307
1133-5a.jpeg	1133-5a_0.jpg	181.42499161560218	94.49746586100261	0.01148380819350841	348.31651074258866
1133-5a.jpeg	1133-5a_1.jpg	44.52557708640164	20.15305929904514	0.040661356234370435	98.3735017824826
1133-5a.jpeg	1133-5a_2.jpg	36.48853540556696	16.77787953016493	0.05040622799291521	79.35527333174416
1133-5a.jpeg	1133-5a_3.jpg	12.892023069167626	1.4147214111328124	0.03404777762522761	117.48197030740153
2122-7c.jpeg	2122-7c_0.jpg	25.0830040975002	0.4115369737413194	0.0026164338115411963	1528.7984669651635
2122-7c.jpeg	2122-7c_1.jpg	169.22891622782367	91.54131866048178	0.012785803015896588	312.8469909185055
2122-7c.jpeg	2122-7c_2.jpg	24.52938310000831	8.966100550672744	0.059606050186866794	67.10728168465916
1222-1c.jpeg	1222-1c_0.jpg	515.1950814450917	267.93846216634114	0.004037863517314653	990.6228833262217
3311-7a.jpeg	3311-7a_0.jpg	140.09968273058183	49.68390026855469	0.010125147744860787	395.05596370485324
3311-7a.jpeg	3311-7a_1.jpg	69.71354085945521	25.54109451497396	0.021021573081655604	190.28071707395603
3311-7a.jpeg	3311-7a_2.jpg	38.829193779451785	17.77738824327257	0.04716406203607328	84.8103370939639
3311-7a.jpeg	3311-7a_3.jpg	78.94457199251374	36.64509721137153	0.023519675226227763	170.0703756121358
1322-10a.jpeg	1322-10a_0.jpg	43.863568454174114	13.331491612413194	0.02771601672949506	144.32088272422087
1322-10a.jpeg	1322-10a_1.jpg	31.966734326402655	23.722331724717883	0.0928583201110485	43.07637694949072
1322-10a.jpeg	1322-10a_2.jpg	30.175880305013468	21.49513110080295	0.09442352139178027	42.36232605012978
1322-10a.jpeg	1322-10a_3.jpg	40.627610310017	32.910993777126734	0.07975509403509111	50.15353625236849
1322-10a.jpeg	1322-10a_4.jpg	29.32836967362391	20.337782462565105	0.09457748159997514	42.293365527730984
1322-10a.jpeg	1322-10a_5.jpg	20.514267125564224	13.024100160047743	0.1237928911943184	32.312033117646294
3311-2a.jpeg	3311-2a_0.jpg	28.685623395561034	13.130912383355033	0.0638302154032164	62.66624630250645
3311-2a.jpeg	3311-2a_1.jpg	68.24280966529047	42.279910465494794	0.036314515311881894	110.1487921743299
3311-2a.jpeg	3311-2a_2.jpg	30.090835030561752	17.374572105577258	0.07675481506641951	52.113994366849994
3311-2a.jpeg	3311-2a_3.jpg	21.570877859448267	9.072480335828994	0.07799205927014906	51.287272543282796
1322-6e.jpeg	1322-6e_0.jpg	223.82828678867514	73.34042932128907	0.005855628260159952	683.1034728100612
1322-6e.jpeg	1322-6e_1.jpg	103.94027300669563	43.783353770616316	0.01621068288149422	246.75086356579817
1322-6e.jpeg	1322-6e_2.jpg	89.29580975169323	29.848755083550344	0.014973525069721421	267.1381642849461
1322-6e.jpeg	1322-6e_3.jpg	118.49193642058563	59.60331072319878	0.01698059020860032	235.56307235858512
1233-4b.jpeg	1233-4b_0.jpg	51.91539339334687	22.768949747721354	0.0337917506127123	118.37208571535855
1233-4b.jpeg	1233-4b_1.jpg	29.318275590564895	9.872851280381944	0.04594367600636033	87.06312484543574
1233-4b.jpeg	1233-4b_2.jpg	27.10720863306433	9.770867949761284	0.053189209828274	75.20322285129538
1233-4b.jpeg	1233-4b_3.jpg	21.273933238062316	9.626866045464409	0.08508428156685229	47.01220867519609
1233-4b.jpeg	1233-4b_4.jpg	31.421993121672973	6.064872995334201	0.024570514105853692	162.7967564198031
1233-4b.jpeg	1233-4b_5.jpg	10.920949156113275	2.0667660698784722	0.06931552932402317	57.7071262242196
1233-4b.jpeg	1233-4b_6.jpg	11.329811102502575	1.8488172417534723	0.057611427424464394	69.43066990042014
1233-4b.jpeg	1233-4b_7.jpg	9.75466140694662	1.367153214518229	0.05747153287931351	69.59967482335543
1233-4b.jpeg	1233-4b_8.jpg	26.237330164170096	5.72094051920573	0.03324207637520399	120.32942692423659
1111-1e.jpeg	1111-1e_0.jpg	58.78813772473572	42.56661695963542	0.04926627433440302	81.1914449395815
1111-1e.jpeg	1111-1e_1.jpg	22.752930746395766	26.34189789767795	0.2035318422081016	19.652944505411543
1111-1e.jpeg	1111-1e_2.jpg	37.30053648556806	33.97089968532986	0.09766453435334535	40.956525585103414
1111-1e.jpeg	1111-1e_3.jpg	22.610012653895645	24.23527544487847	0.1896296923950672	21.09374301819018
1133-2a.jpeg	1133-2a_0.jpg	101.17186430474378	81.85874016655816	0.03198935931068076	125.04157901857262
