"Plot Title: 20168514"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20168514, SEN S/N: 20168514)","Coupler Attached (LGR S/N: 20168514)","Host Connected (LGR S/N: 20168514)","End Of File (LGR S/N: 20168514)"
1,09/16/17 12:00:00 AM,48.695,,,
2,09/16/17 01:30:00 AM,46.369,,,
3,09/16/17 03:00:00 AM,45.286,,,
4,09/16/17 04:30:00 AM,44.195,,,
5,09/16/17 06:00:00 AM,43.099,,,
6,09/16/17 07:30:00 AM,41.994,,,
7,09/16/17 09:00:00 AM,41.254,,,
8,09/16/17 10:30:00 AM,41.067,,,
9,09/16/17 12:00:00 PM,44.013,,,
10,09/16/17 01:30:00 PM,53.100,,,
11,09/16/17 03:00:00 PM,67.221,,,
12,09/16/17 04:30:00 PM,74.446,,,
13,09/16/17 06:00:00 PM,69.622,,,
14,09/16/17 07:30:00 PM,61.227,,,
15,09/16/17 09:00:00 PM,54.842,,,
16,09/16/17 10:30:00 PM,51.523,,,
17,09/17/17 12:00:00 AM,48.517,,,
18,09/17/17 01:30:00 AM,45.648,,,
19,09/17/17 03:00:00 AM,43.466,,,
20,09/17/17 04:30:00 AM,41.994,,,
21,09/17/17 06:00:00 AM,40.881,,,
22,09/17/17 07:30:00 AM,40.134,,,
23,09/17/17 09:00:00 AM,40.321,,,
24,09/17/17 10:30:00 AM,44.560,,,
25,09/17/17 12:00:00 PM,49.050,,,
26,09/17/17 01:30:00 PM,55.884,,,
27,09/17/17 03:00:00 PM,65.680,,,
28,09/17/17 04:30:00 PM,74.619,,,
29,09/17/17 06:00:00 PM,72.199,,,
30,09/17/17 07:30:00 PM,64.139,,,
31,09/17/17 09:00:00 PM,57.614,,,
32,09/17/17 10:30:00 PM,53.449,,,
33,09/18/17 12:00:00 AM,50.290,,,
34,09/18/17 01:30:00 AM,47.982,,,
35,09/18/17 03:00:00 AM,46.188,,,
36,09/18/17 04:30:00 AM,44.560,,,
37,09/18/17 06:00:00 AM,43.466,,,
38,09/18/17 07:30:00 AM,42.548,,,
39,09/18/17 09:00:00 AM,43.648,,,
40,09/18/17 10:30:00 AM,45.648,,,
41,09/18/17 12:00:00 PM,50.643,,,
42,09/18/17 01:30:00 PM,60.712,,,
43,09/18/17 03:00:00 PM,66.193,,,
44,09/18/17 04:30:00 PM,70.480,,,
45,09/18/17 06:00:00 PM,64.652,,,
46,09/18/17 07:30:00 PM,60.195,,,
47,09/18/17 09:00:00 PM,56.404,,,
48,09/18/17 10:30:00 PM,54.147,,,
49,09/19/17 12:00:00 AM,53.100,,,
50,09/19/17 01:30:00 AM,52.050,,,
51,09/19/17 03:00:00 AM,50.819,,,
52,09/19/17 04:30:00 AM,49.937,,,
53,09/19/17 06:00:00 AM,48.871,,,
54,09/19/17 07:30:00 AM,47.624,,,
55,09/19/17 09:00:00 AM,44.922,,,
56,09/19/17 10:30:00 AM,44.195,,,
57,09/19/17 12:00:00 PM,45.104,,,
58,09/19/17 01:30:00 PM,51.699,,,
59,09/19/17 03:00:00 PM,61.569,,,
60,09/19/17 04:30:00 PM,60.539,,,
61,09/19/17 06:00:00 PM,60.195,,,
62,09/19/17 07:30:00 PM,55.884,,,
63,09/19/17 09:00:00 PM,51.172,,,
64,09/19/17 10:30:00 PM,48.517,,,
65,09/20/17 12:00:00 AM,46.369,,,
66,09/20/17 01:30:00 AM,44.922,,,
67,09/20/17 03:00:00 AM,43.648,,,
68,09/20/17 04:30:00 AM,42.732,,,
69,09/20/17 06:00:00 AM,41.439,,,
70,09/20/17 07:30:00 AM,40.509,,,
71,09/20/17 09:00:00 AM,40.321,,,
72,09/20/17 10:30:00 AM,41.810,,,
73,09/20/17 12:00:00 PM,43.466,,,
74,09/20/17 01:30:00 PM,50.995,,,
75,09/20/17 03:00:00 PM,57.614,,,
76,09/20/17 04:30:00 PM,61.398,,,
77,09/20/17 06:00:00 PM,56.230,,,
78,09/20/17 07:30:00 PM,53.973,,,
79,09/20/17 09:00:00 PM,52.225,,,
80,09/20/17 10:30:00 PM,50.290,,,
81,09/21/17 12:00:00 AM,49.404,,,
82,09/21/17 01:30:00 AM,48.871,,,
83,09/21/17 03:00:00 AM,47.802,,,
84,09/21/17 04:30:00 AM,47.088,,,
85,09/21/17 06:00:00 AM,46.908,,,
86,09/21/17 07:30:00 AM,46.548,,,
87,09/21/17 09:00:00 AM,47.982,,,
88,09/21/17 10:30:00 AM,49.759,,,
89,09/21/17 12:00:00 PM,50.643,,,
90,09/21/17 01:30:00 PM,54.495,,,
91,09/21/17 03:00:00 PM,59.680,,,
92,09/21/17 04:30:00 PM,58.647,,,
93,09/21/17 06:00:00 PM,56.057,,,
94,09/21/17 07:30:00 PM,52.401,,,
95,09/21/17 09:00:00 PM,50.290,,,
96,09/21/17 10:30:00 PM,48.160,,,
97,09/22/17 12:00:00 AM,47.088,,,
98,09/22/17 01:30:00 AM,46.548,,,
99,09/22/17 03:00:00 AM,45.466,,,
100,09/22/17 04:30:00 AM,45.104,,,
101,09/22/17 06:00:00 AM,44.922,,,
102,09/22/17 07:30:00 AM,44.379,,,
103,09/22/17 09:00:00 AM,44.560,,,
104,09/22/17 10:30:00 AM,45.648,,,
