"Plot Title: 20168493"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20168493, SEN S/N: 20168493)","Coupler Attached (LGR S/N: 20168493)","Host Connected (LGR S/N: 20168493)","Coupler Detached (LGR S/N: 20168493)","End Of File (LGR S/N: 20168493)"
1,09/26/17 12:00:00 AM,47.802,,,,
2,09/26/17 01:30:00 AM,46.369,,,,
3,09/26/17 03:00:00 AM,45.286,,,,
4,09/26/17 04:30:00 AM,44.379,,,,
5,09/26/17 06:00:00 AM,43.466,,,,
6,09/26/17 07:30:00 AM,42.732,,,,
7,09/26/17 09:00:00 AM,42.363,,,,
8,09/26/17 10:30:00 AM,42.548,,,,
9,09/26/17 12:00:00 PM,43.648,,,,
10,09/26/17 01:30:00 PM,46.188,,,,
11,09/26/17 03:00:00 PM,55.189,,,,
12,09/26/17 04:30:00 PM,59.508,,,,
13,09/26/17 06:00:00 PM,59.508,,,,
14,09/26/17 07:30:00 PM,57.096,,,,
15,09/26/17 09:00:00 PM,53.623,,,,
16,09/26/17 10:30:00 PM,51.172,,,,
17,09/27/17 12:00:00 AM,49.228,,,,
18,09/27/17 01:30:00 AM,47.446,,,,
19,09/27/17 03:00:00 AM,46.369,,,,
20,09/27/17 04:30:00 AM,45.286,,,,
21,09/27/17 06:00:00 AM,44.379,,,,
22,09/27/17 07:30:00 AM,43.648,,,,
23,09/27/17 09:00:00 AM,43.466,,,,
24,09/27/17 10:30:00 AM,43.831,,,,
25,09/27/17 12:00:00 PM,44.742,,,,
26,09/27/17 01:30:00 PM,46.908,,,,
27,09/27/17 03:00:00 PM,56.057,,,,
28,09/27/17 04:30:00 PM,61.054,,,,
29,09/27/17 06:00:00 PM,60.883,,,,
30,09/27/17 07:30:00 PM,58.303,,,,
31,09/27/17 09:00:00 PM,54.842,,,,
32,09/27/17 10:30:00 PM,52.401,,,,
33,09/28/17 12:00:00 AM,50.466,,,,
34,09/28/17 01:30:00 AM,49.050,,,,
35,09/28/17 03:00:00 AM,47.982,,,,
36,09/28/17 04:30:00 AM,47.088,,,,
37,09/28/17 06:00:00 AM,46.188,,,,
38,09/28/17 07:30:00 AM,45.466,,,,
39,09/28/17 09:00:00 AM,45.104,,,,
40,09/28/17 10:30:00 AM,45.466,,,,
41,09/28/17 12:00:00 PM,46.728,,,,
42,09/28/17 01:30:00 PM,49.582,,,,
43,09/28/17 03:00:00 PM,56.923,,,,
44,09/28/17 04:30:00 PM,61.227,,,,
45,09/28/17 06:00:00 PM,60.368,,,,
46,09/28/17 07:30:00 PM,58.131,,,,
47,09/28/17 09:00:00 PM,55.189,,,,
48,09/28/17 10:30:00 PM,52.925,,,,
49,09/29/17 12:00:00 AM,50.995,,,,
50,09/29/17 01:30:00 AM,49.759,,,,
51,09/29/17 03:00:00 AM,49.228,,,,
52,09/29/17 04:30:00 AM,48.517,,,,
53,09/29/17 06:00:00 AM,47.982,,,,
54,09/29/17 07:30:00 AM,47.982,,,,
55,09/29/17 09:00:00 AM,48.160,,,,
56,09/29/17 10:30:00 AM,49.050,,,,
57,09/29/17 12:00:00 PM,51.874,,,,
58,09/29/17 01:30:00 PM,53.100,,,,
59,09/29/17 03:00:00 PM,57.096,,,,
60,09/29/17 04:30:00 PM,62.254,,,,
61,09/29/17 06:00:00 PM,61.227,,,,
62,09/29/17 07:30:00 PM,58.476,,,,
63,09/29/17 09:00:00 PM,55.537,,,,
64,09/29/17 10:30:00 PM,53.100,,,,
65,09/30/17 12:00:00 AM,51.172,,,,
66,09/30/17 01:30:00 AM,49.582,,,,
67,09/30/17 03:00:00 AM,48.339,,,,
68,09/30/17 04:30:00 AM,47.446,,,,
69,09/30/17 06:00:00 AM,47.266,,,,
70,09/30/17 07:30:00 AM,47.446,,,,
71,09/30/17 09:00:00 AM,47.982,,,,
72,09/30/17 10:30:00 AM,49.050,,,,
73,09/30/17 12:00:00 PM,50.643,,,,
74,09/30/17 01:30:00 PM,51.699,,,,
75,09/30/17 03:00:00 PM,53.274,,,,
76,09/30/17 04:30:00 PM,57.096,,,,
77,09/30/17 06:00:00 PM,54.842,,,,
78,09/30/17 07:30:00 PM,52.576,,,,
79,09/30/17 09:00:00 PM,51.523,,,,
80,09/30/17 10:30:00 PM,49.937,,,,
81,10/01/17 12:00:00 AM,48.871,,,,
82,10/01/17 01:30:00 AM,47.446,,,,
83,10/01/17 03:00:00 AM,46.188,,,,
84,10/01/17 04:30:00 AM,45.286,,,,
85,10/01/17 06:00:00 AM,44.742,,,,
86,10/01/17 07:30:00 AM,44.379,,,,
87,10/01/17 09:00:00 AM,44.560,,,,
88,10/01/17 10:30:00 AM,45.466,,,,
89,10/01/17 12:00:00 PM,46.908,,,,
90,10/01/17 01:30:00 PM,48.160,,,,
91,10/01/17 03:00:00 PM,50.643,,,,
92,10/01/17 04:30:00 PM,52.750,,,,
93,10/01/17 06:00:00 PM,52.050,,,,
94,10/01/17 07:30:00 PM,50.290,,,,
95,10/01/17 09:00:00 PM,48.517,,,,
96,10/01/17 10:30:00 PM,46.908,,,,
97,10/02/17 12:00:00 AM,45.648,,,,
98,10/02/17 01:30:00 AM,44.742,,,,
99,10/02/17 03:00:00 AM,43.466,,,,
100,10/02/17 04:30:00 AM,42.548,,,,
101,10/02/17 06:00:00 AM,42.363,,,,
102,10/02/17 07:30:00 AM,42.363,,,,
103,10/02/17 09:00:00 AM,42.732,,,,
104,10/02/17 10:30:00 AM,43.648,,,,
105,10/02/17 12:00:00 PM,45.648,,,,
106,10/02/17 01:30:00 PM,47.266,,,,
107,10/02/17 03:00:00 PM,53.449,,,,
108,10/02/17 04:30:00 PM,57.785,,,,
109,10/02/17 06:00:00 PM,55.364,,,,
110,10/02/17 07:30:00 PM,52.925,,,,
111,10/02/17 09:00:00 PM,50.290,,,,
112,10/02/17 10:30:00 PM,48.339,,,,
113,10/03/17 12:00:00 AM,46.908,,,,
114,10/03/17 01:30:00 AM,46.008,,,,
115,10/03/17 03:00:00 AM,45.104,,,,
116,10/03/17 04:30:00 AM,44.013,,,,
117,10/03/17 06:00:00 AM,42.732,,,,
118,10/03/17 07:30:00 AM,41.625,,,,
119,10/03/17 09:00:00 AM,41.067,,,,
120,10/03/17 10:30:00 AM,40.881,,,,
121,10/03/17 12:00:00 PM,41.067,,,,
122,10/03/17 01:30:00 PM,42.732,,,,
123,10/03/17 03:00:00 PM,49.050,,,,
124,10/03/17 04:30:00 PM,54.669,,,,
125,10/03/17 06:00:00 PM,55.884,,,,
126,10/03/17 07:30:00 PM,53.623,,,,
127,10/03/17 09:00:00 PM,50.643,,,,
128,10/03/17 10:30:00 PM,48.517,,,,
129,10/04/17 12:00:00 AM,47.624,,,,
130,10/04/17 01:30:00 AM,47.266,,,,
131,10/04/17 03:00:00 AM,46.908,,,,
132,10/04/17 04:30:00 AM,46.369,,,,
133,10/04/17 06:00:00 AM,46.008,,,,
134,10/04/17 07:30:00 AM,45.466,,,,
135,10/04/17 09:00:00 AM,45.648,,,,
136,10/04/17 10:30:00 AM,46.369,,,,
137,10/04/17 12:00:00 PM,47.624,,,,
138,10/04/17 01:30:00 PM,49.050,,,,
139,10/04/17 03:00:00 PM,51.172,,,,
140,10/04/17 04:30:00 PM,53.449,,,,
141,10/04/17 06:00:00 PM,54.322,,,,
142,10/04/17 07:30:00 PM,52.050,,,,
143,10/04/17 09:00:00 PM,49.759,,,,
144,10/04/17 10:30:00 PM,47.982,,,,
