"Plot Title: 20168513"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20168513, SEN S/N: 20168513)","Coupler Attached (LGR S/N: 20168513)","Host Connected (LGR S/N: 20168513)","End Of File (LGR S/N: 20168513)"
1,09/06/17 12:00:00 AM,70.995,,,
2,09/06/17 01:30:00 AM,67.392,,,
3,09/06/17 03:00:00 AM,64.652,,,
4,09/06/17 04:30:00 AM,62.598,,,
5,09/06/17 06:00:00 AM,60.883,,,
6,09/06/17 07:30:00 AM,59.508,,,
7,09/06/17 09:00:00 AM,58.303,,,
8,09/06/17 10:30:00 AM,58.993,,,
9,09/06/17 12:00:00 PM,61.912,,,
10,09/06/17 01:30:00 PM,69.278,,,
11,09/06/17 03:00:00 PM,82.330,,,
12,09/06/17 04:30:00 PM,92.363,,,
13,09/06/17 06:00:00 PM,96.168,,,
14,09/06/17 07:30:00 PM,92.737,,,
15,09/06/17 09:00:00 PM,83.935,,,
16,09/06/17 10:30:00 PM,75.484,,,
17,09/07/17 12:00:00 AM,69.964,,,
18,09/07/17 01:30:00 AM,66.193,,,
19,09/07/17 03:00:00 AM,63.455,,,
20,09/07/17 04:30:00 AM,61.398,,,
21,09/07/17 06:00:00 AM,59.680,,,
22,09/07/17 07:30:00 AM,58.303,,,
23,09/07/17 09:00:00 AM,57.441,,,
24,09/07/17 10:30:00 AM,58.131,,,
25,09/07/17 12:00:00 PM,61.569,,,
26,09/07/17 01:30:00 PM,68.934,,,
27,09/07/17 03:00:00 PM,80.382,,,
28,09/07/17 04:30:00 PM,90.309,,,
29,09/07/17 06:00:00 PM,94.062,,,
30,09/07/17 07:30:00 PM,91.240,,,
31,09/07/17 09:00:00 PM,83.579,,,
32,09/07/17 10:30:00 PM,75.659,,,
33,09/08/17 12:00:00 AM,70.480,,,
34,09/08/17 01:30:00 AM,67.050,,,
35,09/08/17 03:00:00 AM,64.996,,,
36,09/08/17 04:30:00 AM,64.310,,,
37,09/08/17 06:00:00 AM,63.968,,,
38,09/08/17 07:30:00 AM,63.626,,,
39,09/08/17 09:00:00 AM,63.111,,,
40,09/08/17 10:30:00 AM,63.968,,,
41,09/08/17 12:00:00 PM,67.050,,,
42,09/08/17 01:30:00 PM,73.234,,,
43,09/08/17 03:00:00 PM,81.442,,,
44,09/08/17 04:30:00 PM,83.043,,,
45,09/08/17 06:00:00 PM,85.554,,,
46,09/08/17 07:30:00 PM,89.569,,,
47,09/08/17 09:00:00 PM,83.399,,,
48,09/08/17 10:30:00 PM,77.225,,,
49,09/09/17 12:00:00 AM,73.580,,,
50,09/09/17 01:30:00 AM,70.824,,,
51,09/09/17 03:00:00 AM,68.763,,,
52,09/09/17 04:30:00 AM,66.537,,,
53,09/09/17 06:00:00 AM,63.797,,,
54,09/09/17 07:30:00 AM,61.741,,,
55,09/09/17 09:00:00 AM,60.024,,,
56,09/09/17 10:30:00 AM,59.851,,,
57,09/09/17 12:00:00 PM,62.083,,,
