"Plot Title: 20168500"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20168500, SEN S/N: 20168500)","Coupler Attached (LGR S/N: 20168500)","Host Connected (LGR S/N: 20168500)","End Of File (LGR S/N: 20168500)"
1,09/16/17 12:00:00 AM,46.908,,,
2,09/16/17 01:30:00 AM,45.104,,,
3,09/16/17 03:00:00 AM,44.379,,,
4,09/16/17 04:30:00 AM,43.648,,,
5,09/16/17 06:00:00 AM,42.915,,,
6,09/16/17 07:30:00 AM,41.994,,,
7,09/16/17 09:00:00 AM,41.439,,,
8,09/16/17 10:30:00 AM,41.439,,,
9,09/16/17 12:00:00 PM,41.994,,,
10,09/16/17 01:30:00 PM,46.548,,,
11,09/16/17 03:00:00 PM,54.322,,,
12,09/16/17 04:30:00 PM,60.539,,,
13,09/16/17 06:00:00 PM,60.368,,,
14,09/16/17 07:30:00 PM,55.711,,,
15,09/16/17 09:00:00 PM,50.819,,,
16,09/16/17 10:30:00 PM,48.160,,,
17,09/17/17 12:00:00 AM,45.648,,,
18,09/17/17 01:30:00 AM,43.282,,,
19,09/17/17 03:00:00 AM,41.810,,,
20,09/17/17 04:30:00 AM,40.509,,,
21,09/17/17 06:00:00 AM,39.573,,,
22,09/17/17 07:30:00 AM,39.007,,,
23,09/17/17 09:00:00 AM,39.573,,,
24,09/17/17 10:30:00 AM,42.732,,,
25,09/17/17 12:00:00 PM,44.742,,,
26,09/17/17 01:30:00 PM,48.695,,,
27,09/17/17 03:00:00 PM,55.711,,,
28,09/17/17 04:30:00 PM,62.425,,,
29,09/17/17 06:00:00 PM,63.626,,,
30,09/17/17 07:30:00 PM,59.851,,,
31,09/17/17 09:00:00 PM,54.147,,,
32,09/17/17 10:30:00 PM,50.466,,,
33,09/18/17 12:00:00 AM,47.624,,,
34,09/18/17 01:30:00 AM,45.466,,,
35,09/18/17 03:00:00 AM,43.831,,,
36,09/18/17 04:30:00 AM,42.548,,,
37,09/18/17 06:00:00 AM,41.625,,,
38,09/18/17 07:30:00 AM,40.881,,,
39,09/18/17 09:00:00 AM,41.810,,,
40,09/18/17 10:30:00 AM,43.831,,,
41,09/18/17 12:00:00 PM,46.908,,,
42,09/18/17 01:30:00 PM,52.925,,,
43,09/18/17 03:00:00 PM,57.614,,,
44,09/18/17 04:30:00 PM,61.741,,,
45,09/18/17 06:00:00 PM,59.164,,,
46,09/18/17 07:30:00 PM,56.230,,,
47,09/18/17 09:00:00 PM,53.798,,,
48,09/18/17 10:30:00 PM,51.874,,,
49,09/19/17 12:00:00 AM,50.643,,,
50,09/19/17 01:30:00 AM,50.113,,,
51,09/19/17 03:00:00 AM,49.404,,,
52,09/19/17 04:30:00 AM,48.517,,,
53,09/19/17 06:00:00 AM,46.908,,,
54,09/19/17 07:30:00 AM,46.008,,,
55,09/19/17 09:00:00 AM,44.013,,,
56,09/19/17 10:30:00 AM,43.466,,,
57,09/19/17 12:00:00 PM,44.379,,,
58,09/19/17 01:30:00 PM,48.517,,,
59,09/19/17 03:00:00 PM,53.798,,,
60,09/19/17 04:30:00 PM,53.798,,,
61,09/19/17 06:00:00 PM,55.537,,,
62,09/19/17 07:30:00 PM,53.973,,,
63,09/19/17 09:00:00 PM,49.582,,,
64,09/19/17 10:30:00 PM,46.728,,,
65,09/20/17 12:00:00 AM,44.742,,,
66,09/20/17 01:30:00 AM,43.282,,,
67,09/20/17 03:00:00 AM,42.179,,,
68,09/20/17 04:30:00 AM,41.439,,,
69,09/20/17 06:00:00 AM,40.509,,,
70,09/20/17 07:30:00 AM,39.947,,,
71,09/20/17 09:00:00 AM,39.947,,,
72,09/20/17 10:30:00 AM,40.881,,,
