"Plot Title: 20168501"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20168501, SEN S/N: 20168501)","Coupler Attached (LGR S/N: 20168501)","Host Connected (LGR S/N: 20168501)","End Of File (LGR S/N: 20168501)"
1,09/16/17 12:00:00 AM,46.728,,,
2,09/16/17 01:30:00 AM,44.922,,,
3,09/16/17 03:00:00 AM,44.379,,,
4,09/16/17 04:30:00 AM,44.013,,,
5,09/16/17 06:00:00 AM,43.466,,,
6,09/16/17 07:30:00 AM,42.548,,,
7,09/16/17 09:00:00 AM,42.179,,,
8,09/16/17 10:30:00 AM,42.363,,,
9,09/16/17 12:00:00 PM,44.013,,,
10,09/16/17 01:30:00 PM,46.728,,,
11,09/16/17 03:00:00 PM,56.230,,,
12,09/16/17 04:30:00 PM,64.652,,,
13,09/16/17 06:00:00 PM,58.647,,,
14,09/16/17 07:30:00 PM,53.449,,,
15,09/16/17 09:00:00 PM,49.050,,,
16,09/16/17 10:30:00 PM,46.728,,,
17,09/17/17 12:00:00 AM,44.560,,,
18,09/17/17 01:30:00 AM,42.548,,,
19,09/17/17 03:00:00 AM,41.254,,,
20,09/17/17 04:30:00 AM,40.134,,,
21,09/17/17 06:00:00 AM,39.573,,,
22,09/17/17 07:30:00 AM,39.007,,,
23,09/17/17 09:00:00 AM,39.384,,,
24,09/17/17 10:30:00 AM,42.548,,,
25,09/17/17 12:00:00 PM,45.828,,,
26,09/17/17 01:30:00 PM,49.228,,,
27,09/17/17 03:00:00 PM,57.441,,,
28,09/17/17 04:30:00 PM,65.851,,,
29,09/17/17 06:00:00 PM,60.712,,,
30,09/17/17 07:30:00 PM,55.711,,,
31,09/17/17 09:00:00 PM,51.346,,,
32,09/17/17 10:30:00 PM,48.160,,,
33,09/18/17 12:00:00 AM,45.828,,,
34,09/18/17 01:30:00 AM,44.013,,,
35,09/18/17 03:00:00 AM,42.548,,,
36,09/18/17 04:30:00 AM,41.625,,,
37,09/18/17 06:00:00 AM,40.696,,,
38,09/18/17 07:30:00 AM,40.321,,,
39,09/18/17 09:00:00 AM,41.254,,,
40,09/18/17 10:30:00 AM,43.282,,,
41,09/18/17 12:00:00 PM,47.982,,,
42,09/18/17 01:30:00 PM,53.100,,,
43,09/18/17 03:00:00 PM,59.337,,,
44,09/18/17 04:30:00 PM,63.282,,,
45,09/18/17 06:00:00 PM,58.647,,,
46,09/18/17 07:30:00 PM,55.537,,,
47,09/18/17 09:00:00 PM,53.100,,,
48,09/18/17 10:30:00 PM,51.699,,,
49,09/19/17 12:00:00 AM,50.466,,,
50,09/19/17 01:30:00 AM,49.937,,,
51,09/19/17 03:00:00 AM,49.228,,,
52,09/19/17 04:30:00 AM,48.517,,,
53,09/19/17 06:00:00 AM,47.446,,,
54,09/19/17 07:30:00 AM,46.369,,,
55,09/19/17 09:00:00 AM,43.466,,,
56,09/19/17 10:30:00 AM,43.466,,,
57,09/19/17 12:00:00 PM,45.286,,,
58,09/19/17 01:30:00 PM,49.228,,,
59,09/19/17 03:00:00 PM,53.274,,,
60,09/19/17 04:30:00 PM,54.147,,,
61,09/19/17 06:00:00 PM,52.401,,,
62,09/19/17 07:30:00 PM,49.937,,,
63,09/19/17 09:00:00 PM,46.728,,,
64,09/19/17 10:30:00 PM,44.742,,,
65,09/20/17 12:00:00 AM,43.282,,,
66,09/20/17 01:30:00 AM,41.994,,,
67,09/20/17 03:00:00 AM,41.067,,,
68,09/20/17 04:30:00 AM,40.509,,,
69,09/20/17 06:00:00 AM,39.947,,,
70,09/20/17 07:30:00 AM,39.384,,,
71,09/20/17 09:00:00 AM,39.196,,,
72,09/20/17 10:30:00 AM,39.760,,,
