Plot_id,elev_m,aspect_rad,slope_deg
1111,1820,0.788010753606722,31.35
1112,1864,0.615661475325659,36.85
1113,1876,0.656059028990507,37.8
1121,1890,0.961261695938319,32.6
1122,1934,0.342020143325668,24.8
1123,1900,-0.866025403784439,29.3
1131,1873,-0.945518575599317,30.1
1132,1862,-0.629320391049837,31.8
1133,1831,-0.961261695938319,25.45
1211,1910,-0.987688340595138,24.7
1212,1899,0.139173100960066,26.3
1213,1878,-0.996194698091746,26.4
1221,1868,-0.034899496702501,28.05
1222,1858,-0.656059028990508,32.25
1223,1828,-0.3583679495453,35.25
1231,1849,-0.898794046299167,26.2
1232,1830,-0.309016994374947,32.1
1233,1808,-0.951056516295154,28.6
1311,1785,-0.866025403784439,34.4
1312,1791,-0.996194698091746,31.5
1313,1738,-0.956304755963036,32.75
1321,1787,-0.809016994374947,33.3
1322,1745,-0.309016994374947,24.8
1323,1724,-0.798635510047293,32.05
1331,1711,0.342020143325668,4.9
1332,1742,0.754709580222772,42.1
1333,1767,0.996194698091746,40.95
2111,1845,0.207911690817759,40.2
2112,1895,-0.104528463267653,33.6
2113,1876,-0.453990499739547,27.35
2121,1931,-0.939692620785908,17.1
2122,1954,-0.848048096156426,27
2123,1913,-0.999847695156391,30.3
2131,1856,-0.5,30.5
2132,1883,-0.374606593415912,26.8
2133,1860,-0.681998360062499,26.4
2211,1976,-1,16.35
2212,1970,-0.848048096156426,21.65
2213,1951,-0.961261695938319,20.9
2221,1950,-0.681998360062498,18.5
2222,1953,-0.92050485345244,12.35
2223,1931,-0.978147600733806,23.7
2231,1922,-0.987688340595138,27.15
2232,1915,-0.743144825477394,31.25
2233,1895,-1,32.75
2311,1819,0.939692620785908,39.55
2313,1867,0.809016994374947,34.45
2323,1899,0.965925826289068,40.5
2331,1946,0.90630778703665,39.75
2332,1945,0.939692620785908,25.6
2333,1971,0.970295726275996,29.1
3111,1894,0.559192903470746,28.35
3112,1927,0.342020143325668,30.1
3113,1919,-1.83697019872103E-16,17.9
3121,1962,0.309016994374947,30.8
3122,2005,0.5,30.65
3123,1992,-1.83697019872103E-16,24.4
3131,1921,-0.587785252292473,29.85
3132,1970,-0.342020143325669,29.4
3133,1937,-0.224951054343865,29.1
3211,2052,-0.866025403784439,24.7
3212,2077,-0.642787609686539,11.45
3213,2051,-0.529919264233205,25.7
3221,2087,0.939692620785908,30.65
3222,2077,0.882947592858927,29.65
3223,2108,0.951056516295154,4.65
3231,2059,-0.342020143325669,27.25
3232,2107,-0.017452406437284,18.2
3233,2080,-0.342020143325669,22.5
3311,1892,-0.292371704722737,24.2
3312,1955,0.406736643075801,41.95
3313,1956,0.46947156278589,32.85
3321,1988,0.342020143325668,25.6
3322,2029,0.224951054343865,26.55
3323,2031,0.275637355816999,19.9
3331,1979,-0.5,31.6
3332,2026,-0.587785252292473,13.65
3333,1988,-0.374606593415912,19.05
