"","species","sla.m","la.m","ldmc.m","sla.se","la.se","ldmc.se","ht.max","ht.m","ht.se","life_history","growth_form","disp_syn","disp_type","hybridization","native"
"32","Clematis occidentalis",233.48408284774,23.6537717806389,0.09224,97.6136026116756,9.97484313951585,0.00525885158566012,120,51.9615384615385,9.71690001783529,"perennial-woody","vine-herbaceous",2,"achene",0,1
"33","Collinsia parviflora",31.3590462069614,0.0225833242299304,0.00074,0.600300656154741,0.000901357822045108,3.9496835316263e-05,26,10.7782608695652,1.41812040221116,"annual","herbaceous",1,"capsule",0,1
"34","Collomia linearis",11.1999031211837,0.0267833918141178,0.002435,0.17261784608811,0.00176654607195276,0.000184694285690345,36,18.6333333333333,2.46021034073002,"annual","herbaceous",6,"capsule",0,1
"35","Comandra umbellata",2.90836380315819,0.0567055710217697,0.02048,0.105049184216395,0.00259642380157406,0.00159263303996872,22.5,20.04,0.993277403347121,"perennial-herb","parasitic",3,"drupe",0,1
"36","Cornus sericea",524.845012132686,85.3366364089103,0.16472,15.1000607336152,4.64790735607318,0.00982261065094204,207,170.666666666667,18.5502321039687,"perennial-woody","shrub",3,"drupe",0,1
"37","Crepis acuminata",547.612189470528,138.518317072036,0.274333333333333,49.8093526324098,18.1492950315545,0.048555275870031,50.3,31.7931034482759,2.16735140077593,"perennial-herb","herbaceous",2,"achene",1,1
"38","Cynoglossum officinale",20.3368230572501,1.91337328343679,0.1011,1.04466513596591,0.0936787700688045,0.0106188825526355,36,29,7,"biennial","herbaceous",4,"nutlet",0,0
"39","Cystopteris fragilis",393.397246157583,15.0764972631254,0.0435625,110.065763850805,4.58444264348868,0.00372399839722039,19,16.1428571428571,0.980247088106614,"perennial-herb","herbaceous",2,"spore",0,1
"40","Delphinium nuttalianum",15.0515054668466,0.385490814048674,0.02562,0.361661736506602,0.0199691700364626,0.00118729384175387,28.5,26.34,0.971390755566471,"perennial-herb","herbaceous",1,"follicle",0,1
"41","Draba sp.",6.88657917555959,0.100826305350026,0.01724,0.503905682377759,0.00965860493894292,0.00243103270237157,52,38.02,4.0701842710128,"annual","herbaceous",1,"silique",0,1
"42","Dracocephalum parviflorum",11.6591589364323,0.0374015042540721,0.00325,0.351076546791372,0.000512913313873843,7.10021283848575e-05,33,27,6,"annual","herbaceous",1,"nutlet",0,1
"43","Elymus glaucus",885.511334995426,33.9271023760803,0.0388,40.1770675220071,1.47293233207454,0.00129553077925613,129,66.9375,6.1768848337977,"perennial-herb","herbaceous",4,"caryopsis",1,1
"44","Elymus lanceolatus",9.40248495765892,0.252995522457151,0.02756,0.460674235492951,0.00861404088242813,0.000802695459062776,34,27,4.04145188432738,"perennial-herb","herbaceous",4,"caryopsis",1,1
"45","Elymus smithii",5.12122313040447,0.0871459742897001,0.01768,0.193282558801981,0.00367687657920911,0.00109383728223169,57,41.4166666666667,2.60985409244241,"perennial-herb","herbaceous",4,"caryopsis",1,1
"46","Elymus trachycaulus",6.98007271865862,0.207490813070173,0.0294,0.220525119293472,0.0216120946745032,0.00241809842645001,45,40,5,"perennial-herb","herbaceous",4,"caryopsis",1,1
"47","Epilobium angustifolium",163.03032085842,19.7597466923465,0.08668,68.8699538248033,8.53856029024991,0.00621022382849443,81,63.2333333333333,5.41151036628818,"perennial-herb","herbaceous",2,"capsule",1,1
"48","Epilobium brachycarpum",6.2993489594931,0.0255746331252132,0.00405047619047619,0.0846296748903496,0.000732337439025558,9.29254086459062e-05,45,23.6,4.29780305634299,"annual","herbaceous",2,"capsule",1,1
"49","Equisetum arvense",8.62576110639716,0.104870588021278,0.01252,0.580506442561074,0.00861034049515215,0.000796291403947072,51,41.96,3.15065072643732,"perennial-herb","herbaceous",2,"spore",0,1
"50","Erigeron speciosus",8.27062718576128,0.229777266107033,0.029,0.348924796713696,0.00952400796798719,0.00208,69,36.9,3.17638893089562,"perennial-herb","herbaceous",2,"achene",1,1
"51","Eriogonum heracleoides",4.43639678201396,0.0927473814564197,0.02152,0.217372592433067,0.00348090745123531,0.000877542021785852,29,16.4782608695652,1.25836264342249,"perennial-herb","herbaceous",2,"achene",1,1
"52","Eriogonum umbellatum",3.2728053709516,0.0447765664244681,0.014,0.0789520945302858,0.00147756098642249,0.000699714227381436,28.6,15.54,5.12987329278219,"perennial-herb","herbaceous",2,"achene",1,1
"53","Erodium cicutarium",16.374459491898,0.0455879431602145,0.0028,0.2908574731313,0.00128813878172325,9.38083151964686e-05,13,5.8,0.950823818625687,"annual","herbaceous",4,"nutlet",0,0
"54","Erysimum capitatum",8.50606689561524,0.0550789731751311,0.00664,0.302203051893206,0.00429275702353908,0.000580620357893176,36.6,33.48,1.45168867185771,"annual","herbaceous",1,"silique",0,1
"55","Eucephalus elegans",11.4637537857539,0.171400063129626,0.01488,0.268595517248732,0.00960510723345581,0.000624563847817019,63,50.7142857142857,3.31018835397255,"perennial-herb","herbaceous",2,"achene",1,1
"56","Eucephalus engelmannii",506.584180204569,58.2603975911689,0.10212,92.235101383353,11.2222075701778,0.00644115517589819,148,110.857142857143,10.6891769281531,"perennial-herb","herbaceous",2,"achene",1,1
"57","Fragaria vesca",8.17870235542704,0.494389791097867,0.0603466666666667,0.68116975257904,0.0464743364303465,0.0036747761561733,11,9.86,0.555517776493246,"perennial-herb","herbaceous",3,"achene",0,1
"58","Frasera speciosa",327.993475413217,425.680976209625,1.3338,30.5405767295039,84.1132091380986,0.214182396545325,98.3,49.36,12.2822880604552,"biennial","herbaceous",1,"capsule",0,1
"59","Galium aparine",28.7182210841967,0.0161767950648415,0.00062,1.08333910477004,0.000568411812063556,4.04969134626332e-05,77,30.42,3.66494860480499,"annual","herbaceous",1,"mericarp",0,1
