"plot","year","month","day","time","temp"
1111,2018,9,23,"10:30",8.48
1111,2018,9,23,"12:00",11.62
1111,2018,9,23,"13:30",14.32
1111,2018,9,23,"15:00",15.86
1111,2018,9,23,"16:30",16.43
1111,2018,9,23,"18:00",15.95
1111,2018,9,23,"19:30",14.8
1111,2018,9,23,"21:00",12.98
1111,2018,9,23,"22:30",11.62
1111,2018,9,24,"00:00",10.65
1111,2018,9,24,"01:30",9.18
1111,2018,9,24,"03:00",7.78
1111,2018,9,24,"04:30",6.67
1111,2018,9,24,"06:00",5.66
1111,2018,9,24,"07:30",4.93
1111,2018,9,24,"09:00",4.52
1111,2018,9,24,"10:30",5.14
1111,2018,9,24,"12:00",6.27
1111,2018,9,24,"13:30",8.28
1111,2018,9,24,"15:00",11.14
1111,2018,9,24,"16:30",12.5
1111,2018,9,24,"18:00",14.04
1111,2018,9,24,"19:30",12.69
1111,2018,9,24,"21:00",9.96
1111,2018,9,24,"22:30",7.78
1111,2018,9,25,"00:00",6.17
1111,2018,9,25,"01:30",4.73
1111,2018,9,25,"03:00",3.68
1111,2018,9,25,"04:30",2.73
1111,2018,9,25,"06:00",1.98
1111,2018,9,25,"07:30",1.44
1111,2018,9,25,"09:00",1.44
1111,2018,9,25,"10:30",2.3
1111,2018,9,25,"12:00",3.79
1111,2018,9,25,"13:30",6.47
1111,2018,9,25,"15:00",9.47
1111,2018,9,25,"16:30",10.85
1111,2018,9,25,"18:00",12.88
1111,2018,9,25,"19:30",11.43
1111,2018,9,25,"21:00",8.68
1111,2018,9,25,"22:30",6.67
1111,2018,9,26,"00:00",5.24
1111,2018,9,26,"01:30",4.1
1111,2018,9,26,"03:00",3.16
1111,2018,9,26,"04:30",2.41
1111,2018,9,26,"06:00",1.66
1111,2018,9,26,"07:30",1
1111,2018,9,26,"09:00",1
1111,2018,9,26,"10:30",1.76
1111,2018,9,26,"12:00",3.58
1111,2018,9,26,"13:30",6.57
1111,2018,9,26,"15:00",9.96
1111,2018,9,26,"16:30",11.62
1111,2018,9,26,"18:00",13.46
1111,2018,9,26,"19:30",11.53
1111,2018,9,26,"21:00",9.28
1111,2018,9,26,"22:30",7.48
1111,2018,9,27,"00:00",6.06
1111,2018,9,27,"01:30",5.04
1111,2018,9,27,"03:00",4.1
1111,2018,9,27,"04:30",3.47
1111,2018,9,27,"06:00",2.94
1111,2018,9,27,"07:30",2.52
1111,2018,9,27,"09:00",2.62
1111,2018,9,27,"10:30",3.58
1111,2018,9,27,"12:00",5.66
1111,2018,9,27,"13:30",8.28
1111,2018,9,27,"15:00",11.24
1111,2018,9,27,"16:30",12.98
1111,2018,9,27,"18:00",14.8
1111,2018,9,27,"19:30",13.46
1111,2018,9,27,"21:00",10.94
1111,2018,9,27,"22:30",9.08
1111,2018,9,28,"00:00",7.58
1111,2018,9,28,"01:30",6.47
1111,2018,9,28,"03:00",5.55
1111,2018,9,28,"04:30",4.93
1111,2018,9,28,"06:00",4.31
1111,2018,9,28,"07:30",3.79
1111,2018,9,28,"09:00",3.79
1111,2018,9,28,"10:30",4.73
1111,2018,9,28,"12:00",6.78
1111,2018,9,28,"13:30",9.37
1111,2018,9,28,"15:00",12.4
1111,2018,9,28,"16:30",14.04
1111,2018,9,28,"18:00",15.19
1111,2018,9,28,"19:30",13.94
1111,2018,9,28,"21:00",12.3
1111,2018,9,28,"22:30",10.65
1111,2018,9,29,"00:00",9.37
1111,2018,9,29,"01:30",8.18
1111,2018,9,29,"03:00",7.18
1111,2018,9,29,"04:30",6.37
1111,2018,9,29,"06:00",5.76
1111,2018,9,29,"07:30",5.35
1111,2018,9,29,"09:00",5.86
1111,2018,9,29,"10:30",7.88
1111,2018,9,29,"12:00",10.94
1111,2018,9,29,"13:30",13.75
1111,2018,9,29,"15:00",16.05
1111,2018,9,29,"16:30",17.09
1111,2018,9,29,"18:00",17.66
1111,2018,9,29,"19:30",16.14
1111,2018,9,29,"21:00",14.61
1111,2018,9,29,"22:30",13.56
1111,2018,9,30,"00:00",13.08
1111,2018,9,30,"01:30",13.27
1111,2018,9,30,"03:00",13.27
1111,2018,9,30,"04:30",12.88
1111,2018,9,30,"06:00",12.79
1111,2018,9,30,"07:30",12.79
1111,2018,9,30,"09:00",13.08
1111,2018,9,30,"10:30",13.94
1111,2018,9,30,"12:00",15.47
1111,2018,9,30,"13:30",16.05
1111,2018,9,30,"15:00",16.62
1111,2018,9,30,"16:30",17.19
1111,2018,9,30,"18:00",16.52
1111,2018,9,30,"19:30",15.09
1111,2018,9,30,"21:00",12.69
1111,2018,9,30,"22:30",10.75
1111,2018,10,1,"00:00",9.28
1111,2018,10,1,"01:30",8.08
1111,2018,10,1,"03:00",6.98
1111,2018,10,1,"04:30",6.06
1111,2018,10,1,"06:00",5.24
1111,2018,10,1,"07:30",4.62
1111,2018,10,1,"09:00",4.93
1111,2018,10,1,"10:30",6.98
1111,2018,10,1,"12:00",9.28
1111,2018,10,1,"13:30",11.53
1111,2018,10,1,"15:00",13.65
1111,2018,10,1,"16:30",14.9
1111,2018,10,1,"18:00",15.66
1111,2018,10,1,"19:30",14.04
1111,2018,10,1,"21:00",12.21
1111,2018,10,1,"22:30",10.75
1111,2018,10,2,"00:00",9.67
1111,2018,10,2,"01:30",8.88
1111,2018,10,2,"03:00",8.28
1111,2018,10,2,"04:30",8.38
1111,2018,10,2,"06:00",8.08
1111,2018,10,2,"07:30",8.28
1111,2018,10,2,"09:00",8.48
1111,2018,10,2,"10:30",10.94
1111,2018,10,2,"12:00",13.08
1111,2018,10,2,"13:30",14.13
1111,2018,10,2,"15:00",15
1111,2018,10,2,"16:30",15.38
1111,2018,10,2,"18:00",15.95
1111,2018,10,2,"19:30",14.8
1111,2018,10,2,"21:00",13.75
1111,2018,10,2,"22:30",12.88
1111,2018,10,3,"00:00",12.21
1111,2018,10,3,"01:30",11.82
1111,2018,10,3,"03:00",11.24
1111,2018,10,3,"04:30",10.46
1111,2018,10,3,"06:00",9.67
1111,2018,10,3,"07:30",9.28
1111,2018,10,3,"09:00",9.18
1111,2018,10,3,"10:30",9.96
1111,2018,10,3,"12:00",10.85
1111,2018,10,3,"13:30",12.11
1111,2018,10,3,"15:00",13.27
1111,2018,10,3,"16:30",14.04
1111,2018,10,3,"18:00",14.42
1111,2018,10,3,"19:30",13.75
1111,2018,10,3,"21:00",12.4
1111,2018,10,3,"22:30",11.82
1111,2018,10,4,"00:00",11.33
1111,2018,10,4,"01:30",10.94
1111,2018,10,4,"03:00",10.46
1111,2018,10,4,"04:30",10.26
1111,2018,10,4,"06:00",9.96
1111,2018,10,4,"07:30",9.57
1111,2018,10,4,"09:00",9.67
1111,2018,10,4,"10:30",10.26
1111,2018,10,4,"12:00",10.94
1111,2018,10,4,"13:30",11.04
1111,2018,10,4,"15:00",11.62
1111,2018,10,4,"16:30",11.62
1111,2018,10,4,"18:00",11.43
1111,2018,10,4,"19:30",10.85
1111,2018,10,4,"21:00",10.46
1111,2018,10,4,"22:30",9.57
1111,2018,10,5,"00:00",9.28
1111,2018,10,5,"01:30",9.08
1111,2018,10,5,"03:00",8.88
1111,2018,10,5,"04:30",8.58
1111,2018,10,5,"06:00",8.18
1111,2018,10,5,"07:30",7.78
1111,2018,10,5,"09:00",7.48
1111,2018,10,5,"10:30",7.88
1111,2018,10,5,"12:00",8.08
1111,2018,10,5,"13:30",8.18
1111,2018,10,5,"15:00",9.08
1111,2018,10,5,"16:30",9.37
1111,2018,10,5,"18:00",9.37
1111,2018,10,5,"19:30",8.28
