species,leaf area,leaf carbon content per leaf dry mass,leaf carbon content per leaf nitrogen content,leaf dry mass per leaf fresh mass,leaf nitrogen content per leaf area,leaf nitrogen content per leaf dry mass,leaf phosphorus content per leaf dry mass,leaf photosynthetic rate per leaf area,leaf photosynthetic rate per leaf dry mass,leaf stomatal conductance for H2O per leaf area,leaf thickness,plant flowering begin,seed mass,whole plant height,whole plant leaf area per whole plant leaf dry mass,whole plant leaf dry mass
Lomatium dissectum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lupinus sericeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maianthemum racemosum,NA,NA,17.6708861,NA,NA,NA,NA,NA,NA,NA,NA,5.714285714,29.47204143,1,20.09817328,NA
Maianthemum stellatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
Malus pumila,NA,NA,NA,NA,NA,17.3623025,NA,NA,NA,NA,NA,NA,22.5195136,12,17.068,NA
Mentha arvensis,604.2514286,NA,NA,177.8419231,NA,NA,NA,NA,NA,NA,NA,6.666666667,0.174666667,0.305555556,43.80269231,0.01404125
Mertensia arizonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryzopsis hymenoides,NA,4.3259425,NA,NA,NA,16.52475,1.1503075,NA,NA,NA,NA,NA,2.939571429,NA,NA,NA
Paxistima canbyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Physocarpus malvaceus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.599745,NA,NA,NA
Poa bulbosa,15.9981,NA,33.504,211.024,NA,13.42285,NA,NA,NA,NA,NA,5,0.451871429,0.2325,18.06647973,0.000768
Poa pratensis,1010.462675,383.7945286,11.966,330.8640066,0.001482016,21.86316,1.101858956,16.50388889,0.210015,413.4777777,0.196083333,5.789473684,0.284569027,0.345505429,27.17865238,0.027268144
Prosartes trachycarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
Prunus virginiana,1528.1165,NA,NA,NA,NA,24.78216,NA,NA,NA,NA,NA,5.027027027,72.06513076,17.4676,12.25873577,NA
Pseudostellaria jamesiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775,NA,NA,NA
