date_processed,plot_ID,tin_weight,tin_air_dry_soil,tin_oven_dry_soil,processor,date_analyzed,hydro_calib,temp_calib,soil_wt,hydro_40,temp_40,hydro_120,temp_120
2020-07-27,C1113,1.054,10.71,10.624,Elizabeth Simpson,2020-08-03,4,22.5,49.97,25,21,7.5,20
2020-07-27,B3331,1.046,11.72,11.391,Elizabeth Simpson,2020-08-03,3.5,22.5,50.25,36,22,8.5,21
2020-07-27,D2221,1.066,11.16,11.011,Elizabeth Simpson,2020-08-03,4,22.5,50.35,27,22,9,20.5
2020-07-27,C1111,1.036,11.237,11.148,Elizabeth Simpson,2020-08-03,4,22.5,50.09,37,22,8,21
2020-07-27,D2222,1.069,11.013,10.868,Elizabeth Simpson,2020-08-03,3.5,22.5,49.98,34,22,15,20.5
2020-07-27,D3333,1.029,10.715,10.443,Elizabeth Simpson,2020-07-31,4,23,50.02,24,22,7,21
2020-07-27,A1113,1.027,10.956,10.573,Elizabeth Simpson,2020-07-31,4,23,50.06,26,22,9.5,21
2020-07-27,D2223,1.038,11.048,10.919,Elizabeth Simpson,2020-07-31,4,23,49.6,21,22,8,21
2020-07-27,D1112,1.062,11.587,11.255,Elizabeth Simpson,2020-07-31,4,23,50.47,26,22,7,21
2020-07-27,D1113,1.045,11.279,11.105,Elizabeth Simpson,2020-08-03,3.5,22.5,50.18,30,22,11,21
2020-07-27,B3333,1.055,10.538,10.135,Elizabeth Simpson,2020-08-03,3.5,22.5,50.23,31,22,9,21
2020-07-27,A1222,1.047,10.966,10.471,Elizabeth Simpson,2020-08-04,4,22,50.35,30,22,10,20.5
2020-07-27,B3332,1.079,11.214,11.101,Elizabeth Simpson,2020-08-03,3.5,22.5,49.95,40,22,12,21
2020-07-27,D3331,1.054,11.371,11.153,Elizabeth Simpson,2020-08-04,4,22,49.89,28,22,7,20.5
2020-07-27,C3111,1.023,10.613,10.31,Elizabeth Simpson,2020-08-03,4,22.5,49.88,29,22,8,20.5
2020-07-27,C1333,1.063,10.91,10.614,Elizabeth Simpson,2020-08-03,4,22.5,49.83,31,22,7.5,21
2020-07-27,B2221,1.046,11.37,11.2,Elizabeth Simpson,2020-08-03,4,22.5,50.22,45,22,18.5,20.5
2020-07-27,A2223,1.048,11.141,10.924,Elizabeth Simpson,2020-08-03,4,22.5,50.09,44,22,15,20.5
2020-07-27,C2221,1.03,11.599,11.38,Elizabeth Simpson,2020-08-03,4,22.5,50.33,44,22,17,20.5
2020-07-27,B2223,1.031,10.445,10.261,Elizabeth Simpson,2020-08-03,3.5,22.5,49.99,40,22,11.5,21
2020-07-27,A3332,1.03,11.231,10.997,Elizabeth Simpson,2020-08-03,3.5,22.5,49.8,34,22,9.1,21
2020-07-27,C2223,1.062,10.734,10.562,Elizabeth Simpson,2020-07-31,4,23,50,42,22,14,21
2020-07-27,A3333,1.027,10.684,10.527,Elizabeth Simpson,2020-07-31,4,23,49.92,36,22,8,21
2020-07-27,B2333,1.009,10.774,10.572,Elizabeth Simpson,2020-08-03,3.5,22.5,50.32,37,22,15.5,21
2020-07-27,C3332,1.056,10.975,10.634,Elizabeth Simpson,2020-07-31,4,23,49.89,25,22,8,21
2020-07-27,C3222,1.04,10.891,10.592,Elizabeth Simpson,2020-07-31,4,23,50.06,25,22,6,21
2020-07-27,A1112,1.071,11.192,10.98,Elizabeth Simpson,2020-07-29,3,23,50.78,32,22,6.5,21
2020-07-27,C3331,1.039,11.617,11.45,Elizabeth Simpson,2020-08-04,3.5,23,50.24,30,21.5,8,20
2020-07-27,A2221,1.055,11.602,11.304,Elizabeth Simpson,2020-07-28,3,23.5,50.32,39,21.5,14,20
2020-07-27,D3332,1.031,10.903,10.655,Elizabeth Simpson,2020-07-28,3,23.5,50.49,24,22,7,19.5
2020-07-27,D1111,1.039,10.748,10.454,Elizabeth Simpson,2020-07-28,3,23.5,49.94,28,22.5,13,20
2020-07-27,A1333,1.035,10.729,10.438,Elizabeth Simpson,2020-07-28,3,23.5,50.16,32,23,8,19.5
2020-07-27,C2222,1.028,11.369,11.126,Elizabeth Simpson,2020-07-28,3,23.5,50.27,39,22.5,13,20.5
2020-07-27,A3222,1.038,11.034,10.882,Elizabeth Simpson,2020-07-29,3,23,49.87,34,22,9,20.5
2020-07-27,A2111,1.04,10.584,10.386,Elizabeth Simpson,2020-07-29,3,23,50.45,41,22,11.5,21
2020-07-27,B1222,1.045,10.415,10.007,Elizabeth Simpson,2020-07-29,3,23,50.25,24,22,7.5,20.5
2020-07-27,B2111,1.035,11.344,11.131,Elizabeth Simpson,2020-07-29,3,23,50.14,39,22.5,13.5,20
2020-07-27,C1112,1.032,10.92,10.732,Elizabeth Simpson,2020-07-29,3,23,50.01,32,23,13,21
2020-07-27,A2333,1.015,10.914,10.682,Elizabeth Simpson,2020-07-29,3,23,50.02,36,22,10,21
2020-07-27,C2111,1.023,10.514,10.228,Elizabeth Simpson,2020-07-29,3,23,49.98,26,22,7,21
2020-07-27,C2333,1.027,11.298,10.815,Elizabeth Simpson,2020-08-04,4,22,50.28,32,22,11.5,20
2020-07-27,C1222,1.033,11.028,10.663,Elizabeth Simpson,2020-08-04,4,22,50.63,29,22,10,20
2020-07-27,A1111,1.033,10.64,10.098,Elizabeth Simpson,2020-08-04,4,22,49.76,33,22,10,20.5
2020-07-27,B2222,1.034,11.664,11.493,Elizabeth Simpson,2020-08-04,4,22,50.17,44,22,17,20.5
2020-07-27,C3333,1.037,11.745,11.556,Elizabeth Simpson,2020-08-04,4,22,50.28,26,22,7,20.5
