Date_collected,Collector_1,Collector_2,N_leaves,Species,Bag_label,Date_weighed,Weigher,Leaf_mass_g,Petiole_mass_g,Notes,Scans,Bag_label
2018-06-13,Elizabeth Simpson,,5,Crepis acuminata,1122-1c,2018-11-05,Hillary Woolf,0.668,0.332,,1122-1bA.jpeg_1122-1cB-pet.jpeg,1122-1c
2018-06-13,Elizabeth Simpson,,5,Crepis acuminata,1122-1d,2018-11-05,Hillary Woolf,0.791,0.141,,1122-1d.jpeg_1122-1d-pet.jpeg,1122-1d
2018-06-13,Elizabeth Simpson,,5,Crepis acuminata,1122-1e,2018-11-05,Hillary Woolf,1.242,0.389,,1122-1eA.jpeg_1122-1eB-pet.jpeg,1122-1e
2018-06-13,Elizabeth Simpson,,5,Tragopogon dubius,1122-2a,2018-11-05,Hillary Woolf,0.085,0,,1122-2a-c.jpeg,1122-2a
2018-06-13,Elizabeth Simpson,,5,Tragopogon dubius,1122-2b,2018-11-05,Hillary Woolf,0.116,0,,1122-2a-c.jpeg,1122-2b
2018-06-13,Elizabeth Simpson,,5,Tragopogon dubius,1122-2c,2018-11-05,Hillary Woolf,0.187,0,,1122-2a-c.jpeg,1122-2c
2018-06-13,Elizabeth Simpson,,5,Tragopogon dubius,1122-2d,2018-11-05,Hillary Woolf,0.24,0,,1122-2d.jpeg,1122-2d
2018-06-13,Elizabeth Simpson,,5,Tragopogon dubius,1122-2e,2018-11-05,Hillary Woolf,0.144,0,,1122-2e.jpeg,1122-2e
2018-06-13,Elizabeth Simpson,,5,Elymus trachycaulus,1122-3a,2018-11-05,Hillary Woolf,0.075,0,,1122-3d-a.jpeg,1122-3a
2018-06-13,Elizabeth Simpson,,5,Elymus trachycaulus,1122-3b,2018-11-05,Hillary Woolf,0.136,0,,1122-3d-a.jpeg,1122-3b
2018-06-13,Elizabeth Simpson,,5,Elymus trachycaulus,1122-3c,2018-11-05,Hillary Woolf,0.138,0,,1122-3d-a.jpeg,1122-3c
2018-06-13,Elizabeth Simpson,,5,Elymus trachycaulus,1122-3d,2018-11-05,Hillary Woolf,0.143,0,,1122-3d-a.jpeg,1122-3d
2018-06-13,Elizabeth Simpson,,5,Elymus trachycaulus,1122-3e,2018-11-05,Hillary Woolf,0.243,0,,1122-3e.jpeg,1122-3e
2018-06-13,Elizabeth Simpson,,5,Balsamorhiza sagittata,1122-4a,2018-11-05,Hillary Woolf,5.587,3.369,,1122-4aA.jpeg_1122-4aB.jpeg_1122-4a-pet.jpeg,1122-4a
2018-06-13,Elizabeth Simpson,,5,Balsamorhiza sagittata,1122-4b,2018-11-05,Hillary Woolf,2.811,3.016,,1122-4bA.jpeg_1122-4bB.jpeg_1122-4b-pet.jpeg,1122-4b
2018-06-13,Elizabeth Simpson,,5,Balsamorhiza sagittata,1122-4c,2018-11-05,Hillary Woolf,4.313,1.982,,1122-4cA.jpeg_1122-4cB.jpeg_1122-4c-pet.jpeg,1122-4c
2018-06-14,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1133-1a,2018-11-07,Hillary Woolf,0.055,0,,1133-1a-e.jpeg,1133-1a
2018-06-14,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1133-1b,2018-11-07,Hillary Woolf,0.06,0,,1133-1a-e.jpeg,1133-1b
2018-06-14,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1133-1c,2018-11-07,Hillary Woolf,0.037,0,,1133-1a-e.jpeg,1133-1c
2018-06-14,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1133-1d,2018-11-07,Hillary Woolf,0.044,0,,1133-1a-e.jpeg,1133-1d
2018-06-14,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1133-1e,2018-11-07,Hillary Woolf,0.061,0,,1133-1a-e.jpeg,1133-1e
2018-06-14,Elizabeth Simpson,,5,Isatis tinctoria,1133-2a,2018-11-07,Hillary Woolf,0.955,0,,1133-2a.jpeg,1133-2a
2018-06-14,Elizabeth Simpson,,5,Isatis tinctoria,1133-2b,2018-11-07,Hillary Woolf,0.141,0,,1133-2b-c.jpeg,1133-2b
2018-06-14,Elizabeth Simpson,,5,Isatis tinctoria,1133-2c,2018-11-07,Hillary Woolf,0.159,0,,1133-2b-c.jpeg,1133-2c
2018-06-14,Elizabeth Simpson,,5,Geranium viscosissimum,1133-3a,2018-11-07,Hillary Woolf,2.901,0,,1133-3aA.jpeg_1133-3aB.jpeg,1133-3a
2018-06-14,Elizabeth Simpson,,5,Geranium viscosissimum,1133-3b,2018-11-07,Hillary Woolf,2.086,0,,1133-3bA.jpeg_1133-3bB.jpeg,1133-3b
2018-06-14,Elizabeth Simpson,,5,Geranium viscosissimum,1133-3c,2018-11-07,Hillary Woolf,2.039,0,,1133-3cA.jpeg_1133-3cB.jpeg,1133-3c
2018-06-14,Elizabeth Simpson,,5,Galium aparine,1133-4a,2018-11-07,Hillary Woolf,0.001,0,,1133-4a-e.jpeg,1133-4a
2018-06-14,Elizabeth Simpson,,5,Galium aparine,1133-4b,2018-11-07,Hillary Woolf,0.002,0,,1133-4a-e.jpeg,1133-4b
2018-06-14,Elizabeth Simpson,,5,Galium aparine,1133-4c,2018-11-07,Hillary Woolf,0.001,0,,1133-4a-e.jpeg,1133-4c
2018-06-14,Elizabeth Simpson,,5,Galium aparine,1133-4d,2018-11-07,Hillary Woolf,0.001,0,,1133-4a-e.jpeg,1133-4d
2018-06-14,Elizabeth Simpson,,5,Galium aparine,1133-4e,2018-11-07,Hillary Woolf,0.003,0,,1133-4a-e.jpeg,1133-4e
2018-06-14,Elizabeth Simpson,,5,Lactuca serriola,1133-5a,2018-11-07,Hillary Woolf,0.391,0,,1133-5a-b.jpeg,1133-5a
2018-06-14,Elizabeth Simpson,,5,Lactuca serriola,1133-5b,2018-11-07,Hillary Woolf,0.234,0,,1133-5a-b.jpeg,1133-5b
2018-06-14,Elizabeth Simpson,,5,Lactuca serriola,1133-5c,2018-11-07,Hillary Woolf,0.255,0,,1133-5c.jpeg,1133-5c
2018-06-14,Elizabeth Simpson,,5,Achillea millefolium,1133-6a,2018-11-07,Hillary Woolf,0.651,0.115,basal leaves,1133-6a.jpeg,1133-6a
