Date_collected,Collector_1,Collector_2,N_leaves,Species,Bag_label,Date_weighed,Weigher,Leaf_mass_g,Petiole_mass_g,ck_date_weighed,ck_weigher,ck_leaf_mass_g,ck_petiole_mass_g,Notes,Scans
2018-06-13,Elizabeth Simpson,,5,Tragopogon dubius,1111-12a,2018-11-05,Hillary Woolf,0.383,0,2018-11-30,Elizabeth Simpson,0.383,0,,1111-12a.jpeg
2018-06-13,Elizabeth Simpson,,5,Ranunculus ranunculinus,1111-13a,2018-11-05,Hillary Woolf,0.014,0,,,,,,1111-13a-b.jpeg
2018-06-13,Elizabeth Simpson,,5,Ranunculus ranunculinus,1111-13b,2018-11-05,Hillary Woolf,0.022,0,,,,,,1111-13a-b.jpeg
2018-06-13,Elizabeth Simpson,,5,Galium aparine,1111-14a,2018-11-05,Hillary Woolf,0.001,0,,,,,,1111-14a-b.jpeg
2018-06-13,Elizabeth Simpson,,5,Galium aparine,1111-14b,2018-11-05,Hillary Woolf,0.001,0,2018-11-30,Elizabeth Simpson,0,0,didn’t register on the scale when I checked it,1111-14a-b.jpeg
2018-06-13,Elizabeth Simpson,,3,Taraxacum officinale,1111-15a,2018-11-05,Hillary Woolf,0.298,0,,,,,only 3 leaves per individual – petioles attached,1111-15a.jpeg
2018-06-13,Elizabeth Simpson,,5,Pseudostellaria jamesiana,1111-16a,2018-11-05,Hillary Woolf,0.01,0,2018-11-30,Elizabeth Simpson,0.011,0,,1111-16a
2018-06-13,Elizabeth Simpson,,5,Poa pratensis,1111-17a,2018-11-05,Hillary Woolf,0.047,0,,,,,,1111-17a-b.jpeg
2018-06-13,Elizabeth Simpson,,4,Poa pratensis,1111-17b,2018-11-05,Hillary Woolf,0.057,0,,,,,,1111-17a-b.jpeg
2018-06-13,Elizabeth Simpson,,5,Bromus carinatus,1111-18a,2018-11-05,Hillary Woolf,0.145,0,,,,,,1111-18a-b.jpeg
2018-06-13,Elizabeth Simpson,,5,Bromus carinatus,1111-18b,2018-11-05,Hillary Woolf,0.088,0,2018-11-30,Elizabeth Simpson,0.091,0,,1111-18a-b.jpeg
2018-06-13,Elizabeth Simpson,,5,Erigeron speciosus,1111-19a,2018-11-05,Hillary Woolf,0.137,0,2018-11-30,Elizabeth Simpson,0.139,0,genus confident – best guess for species,1111-19a.jpeg
2018-06-13,Elizabeth Simpson,,5,Collomia linearis,1111-20a,2018-11-05,Hillary Woolf,0.009,0,2018-11-30,Elizabeth Simpson,0.011,0,,1111-20a.jpeg
2018-06-13,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1111-21a,2018-11-05,Hillary Woolf,0.151,0,2018-11-30,Elizabeth Simpson,0.084,0,vegetative shoot leaves,1111-21a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1111-21b,2018-11-05,Hillary Woolf,0.107,0,,,,,vegetative shoot leaves,1111-21a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1111-21c,2018-11-05,Hillary Woolf,0.133,0,,,,,vegetative shoot leaves,1111-21a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1111-21d,2018-11-05,Hillary Woolf,0.116,0,,,,,vegetative shoot leaves,1111-21a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1111-21e,2018-11-05,Hillary Woolf,0.084,0,,,,,vegetative shoot leaves,1111-21a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Mahonia repens,1111-22a,2018-11-05,Hillary Woolf,0.612,0,,,,,,1111-22a.jpeg
2018-06-13,Elizabeth Simpson,,5,Crepis acuminata,1122-1a,2018-11-05,Hillary Woolf,1.512,0.555,,,,,,
2018-06-13,Elizabeth Simpson,,5,Crepis acuminata,1122-1b,2018-11-05,Hillary Woolf,1.111,0.37,2018-12-10,Elizabeth Simpson,1.141,0.328,,
2018-06-13,Elizabeth Simpson,,5,Crepis acuminata,1122-1c,2018-11-05,Hillary Woolf,0.668,0.332,,,,,,
2018-06-13,Elizabeth Simpson,,5,Crepis acuminata,1122-1d,2018-11-05,Hillary Woolf,0.791,0.141,,,,,,
2018-06-13,Elizabeth Simpson,,5,Crepis acuminata,1122-1e,2018-11-05,Hillary Woolf,1.242,0.389,,,,,,
2018-06-13,Elizabeth Simpson,,5,Tragopogon dubius,1122-2a,2018-11-05,Hillary Woolf,0.085,0,,,,,,
2018-06-13,Elizabeth Simpson,,5,Tragopogon dubius,1122-2b,2018-11-05,Hillary Woolf,0.116,0,,,,,,
2018-06-13,Elizabeth Simpson,,5,Tragopogon dubius,1122-2c,2018-11-05,Hillary Woolf,0.187,0,,,,,,
2018-06-13,Elizabeth Simpson,,5,Tragopogon dubius,1122-2d,2018-11-05,Hillary Woolf,0.24,0,2018-12-10,Elizabeth Simpson,0.24,0,,
2018-06-13,Elizabeth Simpson,,5,Tragopogon dubius,1122-2e,2018-11-05,Hillary Woolf,0.144,0,,,,,,
2018-06-13,Elizabeth Simpson,,5,Elymus trachycaulous,1122-3a,2018-11-05,Hillary Woolf,0.075,0,,,,,,
2018-06-13,Elizabeth Simpson,,5,Elymus trachycaulous,1122-3b,2018-11-05,Hillary Woolf,0.136,0,,,,,,
2018-06-13,Elizabeth Simpson,,5,Elymus trachycaulous,1122-3c,2018-11-05,Hillary Woolf,0.138,0,2018-12-10,Elizabeth Simpson,0.138,0,,
2018-06-13,Elizabeth Simpson,,5,Elymus trachycaulous,1122-3d,2018-11-05,Hillary Woolf,0.143,0,,,,,,
2018-06-13,Elizabeth Simpson,,5,Elymus trachycaulous,1122-3e,2018-11-05,Hillary Woolf,0.243,0,,,,,,
2018-06-13,Elizabeth Simpson,,5,Balsamorhiza sagittata,1122-4a,2018-11-05,Hillary Woolf,5.587,3.369,,,,,,
2018-06-13,Elizabeth Simpson,,5,Balsamorhiza sagittata,1122-4b,2018-11-05,Hillary Woolf,2.811,3.016,2018-12-10,Elizabeth Simpson,4.08,2.991,,
2018-06-13,Elizabeth Simpson,,5,Balsamorhiza sagittata,1122-4c,2018-11-05,Hillary Woolf,4.313,1.982,,, ,,,
2018-06-14,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1133-1a,2018-11-07,Hillary Woolf,0.055,0,2018-12-10,Elizabeth Simpson,0.06,0,,
2018-06-14,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1133-1b,2018-11-07,Hillary Woolf,0.06,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1133-1c,2018-11-07,Hillary Woolf,0.037,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1133-1d,2018-11-07,Hillary Woolf,0.044,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1133-1e,2018-11-07,Hillary Woolf,0.061,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Isatis tinctoria,1133-2a,2018-11-07,Hillary Woolf,0.955,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Isatis tinctoria,1133-2b,2018-11-07,Hillary Woolf,0.141,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Isatis tinctoria,1133-2c,2018-11-07,Hillary Woolf,0.159,0,2018-12-10,Elizabeth Simpson,0.164,0,,
2018-06-14,Elizabeth Simpson,,5,Geranium viscosissimum,1133-3a,2018-11-07,Hillary Woolf,2.901,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Geranium viscosissimum,1133-3b,2018-11-07,Hillary Woolf,2.086,0,2018-12-10,Elizabeth Simpson,2.081,0,,
2018-06-14,Elizabeth Simpson,,5,Geranium viscosissimum,1133-3c,2018-11-07,Hillary Woolf,2.039,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Galium aparine,1133-4a,2018-11-07,Hillary Woolf,0.001,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Galium aparine,1133-4b,2018-11-07,Hillary Woolf,0.002,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Galium aparine,1133-4c,2018-11-07,Hillary Woolf,0.001,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Galium aparine,1133-4d,2018-11-07,Hillary Woolf,0.001,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Galium aparine,1133-4e,2018-11-07,Hillary Woolf,0.003,0,2018-12-10,Elizabeth Simpson,0.006,0,,
2018-06-14,Elizabeth Simpson,,5,Lactuca serriola,1133-5a,2018-11-07,Hillary Woolf,0.391,0,2018-12-10,Elizabeth Simpson,0.395,0,,
2018-06-14,Elizabeth Simpson,,5,Lactuca serriola,1133-5b,2018-11-07,Hillary Woolf,0.234,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Lactuca serriola,1133-5c,2018-11-07,Hillary Woolf,0.255,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Achillea millefolium,1133-6a,2018-11-07,Hillary Woolf,0.651,0.115,,,,,basal leaves,
2018-06-14,Elizabeth Simpson,,5,Achillea millefolium,1133-6b,2018-11-07,Hillary Woolf,0.76,0.169,,,,,basal leaves,
2018-06-14,Elizabeth Simpson,,5,Achillea millefolium,1133-6c,2018-11-07,Hillary Woolf,0.699,0.135,,,,,basal leaves,
2018-06-14,Elizabeth Simpson,,5,Achillea millefolium,1133-6d,2018-11-07,Hillary Woolf,0.935,0.211,,,,,basal leaves,
2018-06-14,Elizabeth Simpson,,5,Achillea millefolium,1133-6e,2018-11-07,Hillary Woolf,0.747,0.111,2018-12-10,Elizabeth Simpson,0.756,0.107,basal leaves,
2018-06-14,Elizabeth Simpson,,5,Lithospermum ruderale,1133-8a,2018-11-07,Hillary Woolf,0.082,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Lithospermum ruderale,1133-8b,2018-11-07,Hillary Woolf,0.133,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Lithospermum ruderale,1133-8c,2018-11-07,Hillary Woolf,0.073,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Lithospermum ruderale,1133-8d,2018-11-07,Hillary Woolf,0.084,0,2018-12-10,Elizabeth Simpson,0.088,0,,
2018-06-14,Elizabeth Simpson,,5,Lithospermum ruderale,1133-8e,2018-11-07,Hillary Woolf,0.154,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Erigeron speciosus,1133-9a,2018-11-07,Hillary Woolf,0.251,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Erigeron speciosus,1133-9b,2018-11-07,Hillary Woolf,0.142,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Erigeron speciosus,1133-9c,2018-11-07,Hillary Woolf,0.236,0,2018-12-10,Elizabeth Simpson,0.239,0,,
2018-06-14,Elizabeth Simpson,,5,Erigeron speciosus,1133-9d,2018-11-07,Hillary Woolf,0.194,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Erigeron speciosus,1133-9e,2018-11-07,Hillary Woolf,0.097,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1133-10a,2018-11-07,Hillary Woolf,0,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1133-10b,2018-11-07,Hillary Woolf,0.004,0,2018-12-10,Elizabeth Simpson,0.009,0,,
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1133-10c,2018-11-07,Hillary Woolf,0.007,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1133-10d,2018-11-07,Hillary Woolf,0.001,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1133-10e,2018-11-07,Hillary Woolf,0.001,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Tragopogon dubius,1133-11a,2018-11-07,Hillary Woolf,0.311,0,2018-12-10,Elizabeth Simpson,0.313,0,,
2018-06-14,Elizabeth Simpson,,5,Tragopogon dubius,1133-11b,2018-11-07,Hillary Woolf,0.152,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Tragopogon dubius,1133-11c,2018-11-07,Hillary Woolf,0.219,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1311-1a,2018-11-07,Hillary Woolf,0.003,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1311-1b,2018-11-07,Hillary Woolf,0.013,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1311-1c,2018-11-07,Hillary Woolf,0.007,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1311-1d,2018-11-07,Hillary Woolf,0.001,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1311-1e,2018-11-07,Hillary Woolf,0.002,0,2018-12-10,Elizabeth Simpson,0.005,0,,
2018-06-14,Elizabeth Simpson,,5,Mahonia repens,1311-2a,2018-11-07,Hillary Woolf,0.559,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Mahonia repens,1311-2b,2018-11-07,Hillary Woolf,0.564,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Mahonia repens,1311-2c,2018-11-07,Hillary Woolf,0.595,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Mahonia repens,1311-2d,2018-11-07,Hillary Woolf,0.312,0,2018-12-10,Elizabeth Simpson,0.317,0,,
2018-06-14,Elizabeth Simpson,,5,Mahonia repens,1311-2e,2018-11-07,Hillary Woolf,0.657,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Pseudoroegneria spicata,1311-3a,2018-11-07,Hillary Woolf,0.224,0,2018-12-10,Elizabeth Simpson,0.229,0,,
2018-06-14,Elizabeth Simpson,,5,Pseudoroegneria spicata,1311-3b,2018-11-07,Hillary Woolf,0.219,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Pseudoroegneria spicata,1311-3c,2018-11-07,Hillary Woolf,0.188,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Pseudoroegneria spicata,1311-3d,2018-11-07,Hillary Woolf,0.195,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Pseudoroegneria spicata,1311-3e,2018-11-07,Hillary Woolf,0.121,0,,,,,,
